Comment,Designator,Footprint,LCSC
SN74LV1T34DBV,"U1,U2",SOT-23-5,C100024
22µ,C1,C_0402_1005Metric,C12530
LM3940IMP-3.3_NOPB,IC3,SOT-223,C140319
0.1µ,"C12,C34,C35,C36,C5,C6",C_0402_1005Metric,C1525
22pF,"C3,C4",C_0402_1005Metric,C1555
0.47µF,C38,C_0603_1608Metric,C1623
SW_Boot,"SW1,SW2",SW_SPST_B3U-1000P,C231329
QRE1113GR,U35,OnSemi_CASE100CY,C232862
10K,"R2,R3",R_0402_1005Metric,C25744
APA102-2020,D1,LED-APA102-2020,C2887942
ESP32-S3-WROOM-1-n16r8,U34,ESP32-S3-WROOM-1-N16R2,C2913202
TXU0304PWR,IC2,TSSOP-14_4.4x5mm_P0.65mm,C4364118
1µ,C2,C_0402_1005Metric,C52923
ADG731BSUZ,IC1,TQFP-48_7x7mm_P0.5mm,C579102
33µF,C37,CP_EIA-3528-15_AVX-H,C7203
SLW-104-01-G-S,J7,SAMTEC_SLW-104-01-G-S,
MountingHole_Pad,H1,MountingHole_M2_own,
MountingHole,H60,MountingHole_3.2mm_M3_DIN965,
MountingHole_Pad,H45,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H23,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H57,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H18,mill_max - 0670 RECEPTACLE WITH NO TAIL,
SLW-104-01-G-S,J8,SAMTEC_SLW-104-01-G-S,
MountingHole_Pad,H36,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H15,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H21,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H28,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H54,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H12,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H46,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H16,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H14,mill_max - 0670 RECEPTACLE WITH NO TAIL,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
MountingHole_Pad,H26,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H22,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H43,mill_max - 0670 RECEPTACLE WITH NO TAIL,
SAMTEC-SLW-108-01-X-S,J10,SAMTEC-SLW-108-01-X-S,
MountingHole_Pad,H34,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H48,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H31,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H37,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H47,mill_max - 0670 RECEPTACLE WITH NO TAIL,
SAMTEC-SLW-108-01-X-S,J9,SAMTEC-SLW-108-01-X-S,
MountingHole_Pad,H33,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H44,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H49,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H20,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H58,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H25,mill_max - 0670 RECEPTACLE WITH NO TAIL,
0022232041,J1,PinSocket_1x04_P2.54mm_Horizontal,
MountingHole_Pad,H24,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H40,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H50,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H35,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H41,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H29,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H13,mill_max - 0670 RECEPTACLE WITH NO TAIL,
MountingHole_Pad,H38,mill_max - 0670 RECEPTACLE WITH NO TAIL,
