Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22µ,C_0402_1005Metric,237.573,-255.6121,-90.0,top
C2,1µ,C_0402_1005Metric,236.176,-252.5641,90.0,top
C3,22pF,C_0402_1005Metric,239.5954,-242.3808,-90.0,top
C4,22pF,C_0402_1005Metric,239.605,-239.6656,90.0,top
C5,0.1µ,C_0402_1005Metric,230.461,-231.082,90.0,top
C6,0.1µ,C_0402_1005Metric,224.746,-231.096,90.0,top
C12,0.1µ,C_0402_1005Metric,217.8372,-228.3528,180.0,top
C34,0.1µ,C_0402_1005Metric,192.683,-248.141,90.0,top
C35,0.1µ,C_0402_1005Metric,212.239,-228.356,180.0,top
C36,0.1µ,C_0402_1005Metric,236.371,-255.6121,-90.0,top
C37,33µF,CP_EIA-3528-15_AVX-H,251.992,-208.045,90.0,top
C38,0.47µF,C_0603_1608Metric,251.992,-212.871,90.0,top
D1,APA102-2020,LED-APA102-2020,225.0,-225.0,-90.0,top
H12,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,43.56,-227.939,90.0,top
H13,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,46.1,-227.939,90.0,top
H14,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,50.56,-227.939,90.0,top
H15,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,53.1,-227.939,90.0,top
H16,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,57.56,-227.939,90.0,top
H17,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,60.1,-227.939,90.0,top
H18,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,64.56,-227.939,90.0,top
H19,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,67.1,-227.939,90.0,top
H20,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,71.56,-227.939,90.0,top
H21,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,74.1,-227.939,90.0,top
H22,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,78.56,-227.939,90.0,top
H23,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,81.1,-227.939,90.0,top
H24,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,85.56,-227.939,90.0,top
H25,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,88.1,-227.939,90.0,top
H26,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,92.56,-227.939,90.0,top
H27,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,95.1,-227.939,90.0,top
H28,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,99.56,-227.939,90.0,top
H29,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,102.1,-227.939,90.0,top
H30,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,106.56,-227.939,90.0,top
H31,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,109.1,-227.939,90.0,top
H32,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,113.56,-227.939,90.0,top
H33,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,116.1,-227.939,90.0,top
H34,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,120.56,-227.939,90.0,top
H35,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,123.1,-227.939,90.0,top
H36,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,127.56,-227.939,90.0,top
H37,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,130.1,-227.939,90.0,top
H38,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,134.56,-227.939,90.0,top
H39,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,137.1,-227.939,90.0,top
H40,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,141.56,-227.939,90.0,top
H41,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,144.1,-227.939,90.0,top
H42,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,148.56,-227.939,90.0,top
H43,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,151.1,-227.939,90.0,top
H44,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,155.56,-227.939,90.0,top
H45,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,158.1,-227.939,90.0,top
H46,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,162.56,-227.939,90.0,top
H47,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,165.1,-227.939,90.0,top
H48,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,169.56,-227.939,90.0,top
H49,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,172.1,-227.939,90.0,top
H50,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,176.56,-227.939,90.0,top
H51,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,179.1,-227.939,90.0,top
H52,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,183.56,-227.939,90.0,top
H53,MountingHole_Pad,mill_max - 0670 RECEPTACLE WITH NO TAIL,186.1,-227.939,90.0,top
