Comment,Designator,Footprint,LCSC
SN74LV1T34DBV,"U1,U2",SOT-23-5,C100024
33µF,C37,CP_EIA-3528-15_AVX-H,C124833
LM3940IMP-3.3_NOPB,IC3,SOT-223,C140319
0.1µ,"C12,C34,C36,C5,C6",C_0402_1005Metric,C1525
22pF,"C3,C4",C_0402_1005Metric,C1555
SW_Boot,"SW1,SW2",SW_SPST_B3U-1000P,C231329
QRE1113GR,U35,OnSemi_CASE100CY,C232862
100,"R1,R13",R_0402_1005Metric,C25076
150,R14,R_0402_1005Metric,C25087
220,R12,R_0402_1005Metric,C25091
10K,"R2,R3",R_0402_1005Metric,C25744
ESP32-S3-WROOM-1-n16r8,U34,ESP32-S3-WROOM-1-N16R2,C2913202
TXU0304RUTR,IC2,QFN_04RUTR_TEX,C2959768
22µ,C1,C_0402_1005Metric,C415703
1µ,C2,C_0402_1005Metric,C52923
ADG731BSUZ,IC1,TQFP-48_7x7mm_P0.5mm,C579102
LED_BGAR,D12,LED_D5.0mm-4_RGB,C7371893
0.47µF,C38,C_0603_1608Metric,C76613
SLW-104-01-G-S,J7,SAMTEC_SLW-104-01-G-S,
SLW-104-01-G-S,J8,SAMTEC_SLW-104-01-G-S,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
SAMTEC-SLW-108-01-X-S,J10,SAMTEC-SLW-108-01-X-S,
SAMTEC-SLW-108-01-X-S,J9,SAMTEC-SLW-108-01-X-S,
0022232041,J1,PinSocket_1x04_P2.54mm_Horizontal,
SLW-104-01-G-S,J6,SAMTEC_SLW-104-01-G-S,
SLW-104-01-G-S,J5,SAMTEC_SLW-104-01-G-S,
Screw_Terminal_01x02,J11,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
