Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22µ,C_0402_1005Metric,238.267,-255.6121,-90.0,top
C2,1µ,C_0402_1005Metric,236.176,-252.5641,90.0,top
C3,22pF,C_0402_1005Metric,239.5954,-242.3808,-90.0,top
C4,22pF,C_0402_1005Metric,239.605,-239.6656,90.0,top
C5,0.1µ,C_0402_1005Metric,233.5852,-231.0706,90.0,top
C6,0.1µ,C_0402_1005Metric,227.74555,-231.091579,90.0,top
C12,0.1µ,C_0402_1005Metric,214.335071,-232.573579,-90.0,top
C34,0.1µ,C_0402_1005Metric,192.683,-248.141,90.0,top
C36,0.1µ,C_0402_1005Metric,237.065,-255.6121,-90.0,top
C37,33µF,CP_EIA-3528-15_AVX-H,251.992,-208.045,90.0,top
C38,0.47µF,C_0603_1608Metric,251.992,-212.871,90.0,top
D12,LED_BGAR,LED_D5.0mm-4_RGB,225.0,-225.0,180.0,top
IC1,ADG731BSUZ,TQFP-48_7x7mm_P0.5mm,196.661952,-243.098,0.0,top
IC2,TXU0304RUTR,QFN_04RUTR_TEX,214.335071,-230.033579,180.0,top
IC3,LM3940IMP-3.3_NOPB,SOT-223,244.118,-211.855,180.0,top
J1,0022232041,PinSocket_1x04_P2.54mm_Horizontal,247.928,-241.065,0.0,top
J5,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,243.3125,-221.0,180.0,top
J6,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,403.3325,-221.0,180.0,top
J7,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,243.3125,-229.0,180.0,top
J8,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,403.3325,-229.0,180.0,top
J9,SAMTEC-SLW-108-01-X-S,SAMTEC-SLW-108-01-X-S,236.45149,-192.956,-90.0,top
J10,SAMTEC-SLW-108-01-X-S,SAMTEC-SLW-108-01-X-S,213.59149,-192.956,-90.0,top
J11,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",260.305,-209.455,90.0,bottom
JP1,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,255.802,-214.141,180.0,top
R1,100,R_0402_1005Metric,309.074,-232.62,90.0,bottom
R2,10K,R_0402_1005Metric,307.221998,-232.634998,270.0,bottom
R3,10k,R_0402_1005Metric,238.267,-253.64545,90.0,top
R12,220,R_0402_1005Metric,223.04,-229.57,90.0,top
R13,100,R_0402_1005Metric,224.12,-229.57,90.0,top
R14,150,R_0402_1005Metric,225.2,-229.57,90.0,top
SW1,SW_Boot,SW_SPST_B3U-1000P,205.95,-254.845,0.0,top
SW2,SW_Reset,SW_SPST_B3U-1000P,242.9832,-254.845,180.0,top
U1,SN74LV1T34DBV,SOT-23-5,235.899671,-230.837579,90.0,top
U2,SN74LV1T34DBV,SOT-23-5,230.057671,-230.837579,90.0,top
U34,ESP32-S3-WROOM-1-n16r8,ESP32-S3-WROOM-1-N16R2,225.0,-251.61,180.0,top
U35,QRE1113GR,OnSemi_CASE100CY,308.058,-225.0,0.0,bottom
